Class,Confidence,Center 3D Coordinates
10ML_sorting_tube_rack,0.4899505376815796,"[-225.0, -84.0, 1287.0]"
10ML_centrifuge_tube,0.4580151438713074,"[95.0, 254.0, 967.0]"
dispensing_tube_rack,0.4264650344848633,"[-70.0, 110.0, 1042.0]"
tube_rack_storage_cabinet,0.33280763030052185,"[-376.0, 50.0, 642.0]"
10ML_centrifuge_tube,0.33129021525382996,"[-580.0, -98.0, 1332.0]"
5ML_centrifuge_tube,0.297437846660614,"[222.0, 283.0, 924.0]"
refrigerator_close,0.956433117389679,"[24.0, -456.0, 1623.0]"
centrifuge_close,0.913642942905426,"[318.0, -217.0, 1260.0]"
dispensing_tube_rack,0.82188880443573,"[-151.0, 93.0, 1142.0]"
blood_tube,0.8199913501739502,"[233.0, 196.0, 1042.0]"
10ML_centrifuge_tube,0.6854362487792969,"[-495.0, -189.0, 1392.0]"
10ML_centrifuge_tube,0.6572445631027222,"[-43.0, 57.0, 1049.0]"
blood_tube,0.6029370427131653,"[91.0, 118.0, 1128.0]"
10ML_sorting_tube_rack,0.42063072323799133,"[-221.0, -83.0, 1271.0]"
10ML_centrifuge_tube,0.4068925678730011,"[95.0, 255.0, 964.0]"
10ML_centrifuge_tube,0.3665164113044739,"[-582.0, -99.0, 1332.0]"
dispensing_tube_rack,0.3499172627925873,"[-71.0, 111.0, 1037.0]"
tube_rack_storage_cabinet,0.26236000657081604,"[-375.0, 50.0, 641.0]"
refrigerator_close,0.9545511603355408,"[22.0, -415.0, 1477.0]"
centrifuge_close,0.9140589833259583,"[318.0, -217.0, 1260.0]"
blood_tube,0.831898033618927,"[232.0, 194.0, 1038.0]"
dispensing_tube_rack,0.7484164237976074,"[-151.0, 93.0, 1143.0]"
10ML_centrifuge_tube,0.6726614832878113,"[-499.0, -191.0, 1404.0]"
10ML_centrifuge_tube,0.586615800857544,"[-43.0, 57.0, 1052.0]"
blood_tube,0.5702050924301147,"[91.0, 120.0, 1130.0]"
10ML_centrifuge_tube,0.5078921914100647,"[-581.0, -99.0, 1331.0]"
dispensing_tube_rack,0.44771161675453186,"[-70.0, 110.0, 1040.0]"
10ML_centrifuge_tube,0.3929106295108795,"[96.0, 255.0, 964.0]"
tube_rack_storage_cabinet,0.36647313833236694,"[-379.0, 52.0, 647.0]"
5ML_centrifuge_tube,0.32486528158187866,"[222.0, 285.0, 925.0]"
5ML_sorting_tube_rack,0.30640605092048645,"[-327.0, 128.0, 525.0]"
